gene_label	B. velezensis	B. paralicheniformis
tasA | gene-ACSAL1_RS11690	-11.145716030371412	-7.891609756638836
gene-ACSAL1_RS15650	-11.014079586223318	-6.831272881016061
gene-ACSAL1_RS01645	-8.731497773152256	-6.096408181815178
gene-ACSAL1_RS09495	-6.796985221757411	-7.180965380102754
gene-ACSAL1_RS09345	-7.154397350758142	-6.381306972840374
gene-ACSAL1_RS02195	1.3980793149702586	12.077316490850572
gene-ACSAL1_RS16090	-6.241506271191187	-7.177697202871734
sipW | gene-ACSAL1_RS11695	-6.591601171191677	-6.706310358210987
gene-ACSAL1_RS16080	-5.543662278803894	-7.456290888915862
epsB | gene-ACSAL1_RS16140	-6.158932079809196	-6.6385789092564265
gene-ACSAL1_RS16075	-5.304053247834244	-7.372771665535743
gene-ACSAL1_RS09500	-6.1892231401134286	-6.349762743757935
gene-ACSAL1_RS16100	-5.599860927765386	-6.897300896724677
gene-ACSAL1_RS09490	-6.482509195309159	-5.94605678116537
gene-ACSAL1_RS16095	-4.579344827486073	-7.399652832451961
gene-ACSAL1_RS16085	-5.697798056811681	-6.213331683021752
gene-ACSAL1_RS16105	-4.627131284848838	-7.2261011820334815
gene-ACSAL1_RS05760	-8.836432483973539	-2.988355215365623
bslA | gene-ACSAL1_RS14390	-5.780876519510483	-6.003002254306837
gene-ACSAL1_RS16120	-5.247347115945321	-6.471095816487367
gene-ACSAL1_RS11760	3.463128435122114	8.246250521331486
argF | gene-ACSAL1_RS05695	-10.07162757888156	-1.5796372349978192
epsE | gene-ACSAL1_RS16125	-5.160458131216826	-6.420474377033791
gene-ACSAL1_RS16130	-5.042826531323989	-6.47835672015482
gene-ACSAL1_RS17985	-6.931690911383481	-4.547894564310743
gene-ACSAL1_RS16135	-4.530910339759023	-6.877538643895273
gene-ACSAL1_RS05295	-9.320798621267242	-2.04276053453538
gene-ACSAL1_RS16110	-4.436791661627002	-6.703226085229215
gene-ACSAL1_RS03815	3.199668833549508	7.526635975934568
betB | gene-ACSAL1_RS14380	9.031164912910793	1.6817709586311131
tapA | gene-ACSAL1_RS11700	-5.414827015524714	-5.237453988355179
proC | gene-ACSAL1_RS09590	6.6109245653865	4.030802150286297
gene-ACSAL1_RS01500	1.8156798797031728	8.815510035328394
nadA | gene-ACSAL1_RS12715	-9.210568388454638	-1.4126064098139175
safA | gene-ACSAL1_RS12710	-8.993120230055487	-1.5809922094879618
proB | gene-ACSAL1_RS09585	5.651574961305816	4.669124185727576
gene-ACSAL1_RS03900	4.082429677204219	6.181953440595755
estA | gene-ACSAL1_RS01460	-7.353782609972714	-2.780709877820229
opp4C | gene-ACSAL1_RS05770	-6.248678981085014	-3.6244983938427335
gene-ACSAL1_RS09710	6.246388519655356	3.5988982712916973
bglS | gene-ACSAL1_RS18425	-7.831193880278129	-2.0062871553606927
gene-ACSAL1_RS09485	-6.366259052420619	-3.352403291410545
gene-ACSAL1_RS16145	-3.1654835611560204	-6.504156675798009
comGB | gene-ACSAL1_RS11740	2.714214466020032	6.946677963347863
swrA | gene-ACSAL1_RS16545	5.571561228131301	4.058028702998095
xynC | gene-ACSAL1_RS09340	-3.931865011062726	-5.604333991616759
gene-ACSAL1_RS11755	1.42731643666065	8.085635229238775
xynA | gene-ACSAL1_RS17230	-4.6499084786959255	-4.830026554918872
gene-ACSAL1_RS14950	-6.050197136585435	-3.2836979957405035
comGA | gene-ACSAL1_RS11745	2.427555372990398	6.881199651120326
